Title,Company,Location,Expiry Date,Description
Cashier,Doves Life Assurance,Expires 23 Apr 2025,Full Time,Job Title : Cashier Location: Bulawayo Department section: Finance Incumbent Superior : Group Accountant Incumbent Superior : Accountant Subordinates : None Grade : B2 Section 02
Swimming Coach,Hwange Colliery Company Limited,Expires 14 May 2025,Full Time,"SWIMMING COACH (HWANGE PROPERTY COMPANY) Hwange Colliery Company Limited Holdings, a diversified local organization with investment interests in mining, agriculture, energy, medical health, real estate and financial services, has a vacancy for the position of Swimming Coach. This is a supervisory position which reports to the Clubs Manager and requires …"
Electrical Design Engineer,Power Systems Africa,Expires 30 May 2025,Full Time,"Are you passionate about designing innovative electrical solutions and ensuring the highest levels of technical excellence? At Power Systems Africa, we're looking for a skilled Electrical Design Engineer to join our growing team and help us deliver industry-leading engineering solutions to our customers."
SALES REPS,N/A,Expires 16 May 2025,Full Time,Young energetic people to fill in the role of sales representatives.
Receptionist/ PA to the Managing Director,Power Systems Africa,Expires 22 Apr 2025,Full Time,Power Systems Africa is looking for a Dynamic Receptionist who doubles as a PA to the Managing Director on a full time basis.
"Baseline Assessment for the project, “Integrated Emergency Response for El Niño Drought Affected Communities in Zimbabwe,",Oxfam,Expires 25 Apr 2025,Full Time,"Oxfam is a global movement of people who are fighting inequality to end poverty and injustice. Across regions, from the local to the global, we work with people to bring change that lasts. OVERVIEW Title and brief description of the assignment Baseline Assessment for the project, “Integrated Emergency Response for …"
Call for Supplier`s Registration for the period (January 2026 to December 2028),MeDRA - Methodist Development and Relief Agency,Expires 09 May 2025,Full Time,Methodist Development and Relief Agency (MeDRA) Call for Supplier`s Registration for the period (January 2026 to December 2028) ABOUT MEDRA MeDRA is a faith-based local NGO which is part of the mission of The Methodist Church in Zimbabwe whose mandate is to implement Humanitarian and Developmental programmes that promotes socio-economic …
Administration Assistant Intern,Traffic Safety Council of Zimbabwe,Expires 23 Apr 2025,Full Time,TSCZ is seeking an Administration Assistant Intern.
IT and Support Graduate trainee,Lightguard Security,Expires 21 Apr 2025,Full Time,"We are looking for a highly motivated and dynamic IT Graduate Trainee with a Business Management background, IT support knowledge, and an interest in sales and marketing. This role is ideal for someone eager to expand their career by combining IT expertise with sales and marketing responsibilities."
Automachanic,Lightguard Security,Expires 21 Apr 2025,Full Time,"5 years experienced auto mechanic responsible to attend, diagnose, repair, maintain and report all auto mechanic issues within our organisation"
